Company,Total Revenue,Total R&D,R&D % of Revenue,Revenue Growth (QoQ)
Microsoft,293.812,33.09,11.26230378609451,11.547851562499995
Apple,416.161,34.55,8.302075398703867,-17.565567176186647
Alphabet (Google),385.477,55.631,14.431730038368048,6.092112492095917
Amazon,691.33,102.693,14.85441106273415,-4.059278350515458
Meta (Facebook),189.457,52.416,27.666436183408372,5.904722537976644
NVIDIA,187.142,16.698999999999998,8.923170640476215,44.939106557168635
